// コマンド,x,y,z,rx,ry,rz
//----------------------前の壁
POP,0,-2,50,0,0,0
POP,0,6,50,0,0,0
POP,0,14,50,0,0,0
POP,8,-2,50,0,0,0
//POP,8,8,40->ドアの位置
POP,8,14,50,0,0,0
POP,16,-2,50,0,0,0
POP,16,6,50,0,0,0
POP,16,14,50,0,0,0
POP,24,-2,50,0,0,0
POP,24,6,50,0,0,0
POP,24,14,50,0,0,0
POP,-8,-2,50,0,0,0
//POP,-8,8,40->ドアの位置
POP,-8,14,50,0,0,0
POP,-16,-2,50,0,0,0
POP,-16,6,50,0,0,0
POP,-16,14,50,0,0,0
POP,-24,-2,50,0,0,0
POP,-24,6,50,0,0,0
POP,-24,14,50,0,0,0
// コマンド,x,y,z,rx,ry,rz
//---------------------左の壁
POP,-50,-2,0,0,90,0
POP,-50,6,0,0,90,0
POP,-50,14,0,0,90,0
POP,-50,-2,8,0,90,0
//POP,8,8,40->ドアの位置
POP,-50,14,8,0,90,0
POP,-50,-2,16,0,90,0
POP,-50,6,16,0,90,0
POP,-50,14,16,0,90,0
POP,-50,-2,24,0,90,0
POP,-50,6,24,0,90,0
POP,-50,14,24,0,90,0
POP,-50,-2,-8,0,90,0
//POP,-8,6,-8->ドアの位置
POP,-50,14,-8,0,90,0
POP,-50,-2,-16,0,90,0
POP,-50,6,-16,0,90,0
POP,-50,14,-16,0,90,0
POP,-50,-2,-24,0,90,0
POP,-50,6,-24,0,90,0
POP,-50,14,-24,0,90,0
// コマンド,x,y,z,rx,ry,rz
//---------------------右の壁
POP,50,-2,0,0,90,0
POP,50,6,0,0,90,0
POP,50,14,0,0,90,0
POP,50,-2,8,0,90,0
//POP,8,6,40->ドアの位置
POP,50,14,8,0,90,0
POP,50,-2,16,0,90,0
POP,50,6,16,0,90,0
POP,50,14,16,0,90,0
POP,50,-2,24,0,90,0
POP,50,6,24,0,90,0
POP,50,14,24,0,90,0
POP,50,-2,-8,0,90,0
//POP,-8,6,-8->ドアの位置
POP,50,14,-8,0,90,0
POP,50,-2,-16,0,90,0
POP,50,6,-16,0,90,0
POP,50,14,-16,0,90,0
POP,50,-2,-24,0,90,0
POP,50,6,-24,0,90,0
POP,50,14,-24,0,90,0
//---------------------後ろの壁
POP,0,-2,-50,0,0,0
POP,0,6,-50,0,0,0
POP,0,14,-50,0,0,0
POP,8,-2,-50,0,0,0
//POP,8,6,40->ドアの位置
POP,8,14,-50,0,0,0
POP,16,-2,-50,0,0,0
POP,16,6,-50,0,0,0
POP,16,14,-50,0,0,0
POP,24,-2,-50,0,0,0
POP,24,6,-50,0,0,0
POP,24,14,-50,0,0,0
POP,-8,-2,-50,0,0,0
//POP,-8,8,40->ドアの位置
POP,-8,14,-50,0,0,0
POP,-16,-2,-50,0,0,0
POP,-16,6,-50,0,0,0
POP,-16,14,-50,0,0,0
POP,-24,-2,-50,0,0,0
POP,-24,6,-50,0,0,0
POP,-24,14,-50,0,0,0
